Player,Team,Price
Smits Rolands,EFS,6.3
Anderson Justin,DUB,6.3
Voigtmann Johannes,BAY,6.3
Wilbekin Scottie,FNB,6.3
M'Baye Amath,PRS,6.3
Morgan Jeremy,PRS,6.3
Garuba Usman,RMB,6.2
Hayes Kevarrius,ASM,6.2
Nedovic Nemanja,ASM,6.2
Santos Marcio,MAC,6.2
Bertans Davis,DUB,6.1
Calathes Nick,PAR,6.1
Harrison Shaquille,ASV,6.1
Len Alex,RMB,6.1
Radzevicius Gytis,BKN,6.1
Motiejunas Donatas,CZT,6.1
Swider Cole,EFS,6.0
Carter Tyson,CZT,6.0
Jallow Karim,VIR,6.0
Jovic Stefan,BAY,6.0
Spagnolo Matteo,BKN,5.9
Birch Khem,FNB,5.9
Ennis Tyler,HTA,5.9
Hazer Sehmus,EFS,5.9
Kamenjas Kenan,DUB,5.9
Mitoglou Konstantinos,PAO,5.9
Butkevicius Arnas,ZAL,5.8
Jantunen Mikael,FNB,5.8
Odiase Tai,HTA,5.7
Taylor Brandon,VIR,5.6
Madar Yam,HTA,5.6
Vautier Bastien,ASV,5.5
Birutis Laurynas,ZAL,5.5
Brazdeikis Ignas,ZAL,5.5
Rathan-Mayes Xavier,BAY,5.5
Wainright Ish,HTA,5.4
Ntilikina Frank,OLY,5.4
Diop Khalifa,BKN,5.3
Hankins Zachary,MAC,5.3
Puerto Josep,VAL,5.3
Hollatz Justus,BAY,5.2
Dessert Brice,EFS,5.1
Makoundou Yoan,ASM,5.1
Hackett Daniel,VIR,5.0
Papagiannis Georgios,EFS,5.0
Abalde Alberto,RMB,4.9
Begarin Juhann,ASM,4.9
Cavaliere Leopold,PRS,4.9
Armstrong Taran,DUB,4.9
Ginat Tomer,HTA,4.9
Massa Bodian,ASV,4.9
Giffey Niels,BAY,4.8
Bacot Jr Armando,FNB,4.7
Mckissic Shaquielle,OLY,4.7
Michineau David,ASM,4.6
Tarpey Terry,ASM,4.5
Beaubois Rodrigue,EFS,4.5
Dibartolomeo John,MAC,4.5
Frisch Clement,BKN,4.5
Ferrari Francesco,VIR,4.5
Lighty David,ASV,4.5
Rogkavopoulos Nikolaos,PAO,4.5
Ayayi Joel,PRS,4.4
Fall Youssoupha,FCB,4.4
Llull Sergio,RMB,4.4
Sirvydis Deividas,ZAL,4.4
Bako Ismael,PRS,4.3
Cale Myles,FCB,4.3
Happ Ethan,VAL,4.3
Lopez-Arostegui Xabi,VAL,4.3
Mannion Niccolo,MIL,4.3
Marinkovic Vanja,PAR,4.3
Baldwin Kamar,BAY,4.2
Zagars Arturs,FNB,4.2
Ouattara Yakuba,PRS,4.2
Pokusevski Aleksej,PAR,4.2
Accorsi Matteo,VIR,4.1
Toliopoulos Vassilis,PAO,4.1
Birsen Metecan,FNB,4.1
Iroegbu Ike,VAL,4.1
Dunston Bryant,MIL,4.1
Jaiteh Mam,DUB,4.1
Marcos Juani,FCB,4.1
Papanikolaou Kostas,OLY,4.1
Abass Awudu,DUB,4.0
Akele Nicola,VIR,4.0
Almansa Izan,RMB,4.0
Stojkovic Lazar,CZT,4.0
Andjusic Danilo,DUB,4.0
Antetokounmpo Kostas,OLY,4.0
Timor Bar,HTA,4.0
Tonut Stefano,MIL,4.0
Bango Jilson,FNB,4.0
Trifunovic Uros,MAC,4.0
Bitim Onuralp,FNB,4.0
Villar Rafa,BKN,4.0
Blayzer Oz,HTA,4.0
